Filename,Time (s),Memory (KB)
product_small.cpp,49.34,1141068
bdcsvd.cpp,95.92,1471676
indexed_view.cpp,19.82,526652
conservative_resize.cpp,6.64,269300
conservative_resize.cpp,8.14,297540
num_dimensions.cpp,2.51,154644
umeyama.cpp,16.93,486684
miscmatrices.cpp,2.09,137268
product_small.cpp,111.19,1827404
swap.cpp,4.37,205164
cholesky.cpp,65.15,1207604
adjoint.cpp,8.59,380116
reshape.cpp,93.26,1680568
swap.cpp,4.35,206588
indexed_view.cpp,19.77,527300
symbolic_index.cpp,1.82,112300
qr_colpivoting.cpp,39.46,785392
corners.cpp,3.55,157732
indexed_view.cpp,21.26,527868
product_large.cpp,65.05,1235704
corners.cpp,5.17,230500
diagonalmatrices.cpp,17.07,426332
integer_types.cpp,7.82,330012
nullary.cpp,11.04,437760
linearstructure.cpp,5.29,284948
block.cpp,28.59,710200
bdcsvd.cpp,163.39,1977912
corners.cpp,7.34,291388
householder.cpp,41.83,900628
eigensolver_generic.cpp,41.97,941936
block.cpp,27.27,718968
rvalue_types.cpp,2.20,142028
vectorwiseop.cpp,19.28,567148
geo_parametrizedline.cpp,21.82,623956
block.cpp,33.69,765848
simplicial_cholesky.cpp,68.44,1155232
adjoint.cpp,8.43,370432
block.cpp,141.41,1994712
product_trmv.cpp,8.30,336060
qr_colpivoting.cpp,2.33,133872
product_trmv.cpp,11.20,399232
product_trmm.cpp,30.35,689972
visitor.cpp,2.29,123892
linearstructure.cpp,6.36,274804
geo_alignedbox.cpp,4.21,225928
jacobisvd.cpp,69.93,1198112
mixingtypes.cpp,3.06,178816
diagonalmatrices.cpp,10.91,421764
conservative_resize.cpp,6.45,256496
stable_norm.cpp,8.64,328448
visitor.cpp,4.55,201716
stdvector.cpp,4.29,193464
linearstructure.cpp,7.97,311452
product_trsolve.cpp,20.11,434160
visitor.cpp,2.46,142952
eigensolver_generic.cpp,29.77,789548
product_trmm.cpp,104.94,1513780
geo_hyperplane.cpp,25.16,714616
permutationmatrices.cpp,12.98,387880
integer_types.cpp,14.68,422416
mixingtypes.cpp,108.52,1888028
swap.cpp,3.36,197260
adjoint.cpp,11.98,418432
redux.cpp,7.29,311128
geo_alignedbox.cpp,4.60,260472
stable_norm.cpp,7.50,318636
sparse_basic.cpp,3.35,174944
basicstuff.cpp,8.00,316272
diagonalmatrices.cpp,11.45,417172
sparse_basic.cpp,2.84,156368
block.cpp,35.95,738636
nullary.cpp,2.80,176268
triangular.cpp,11.75,426940
nullary.cpp,6.53,313028
corners.cpp,3.21,156504
nomalloc.cpp,3.50,213800
mixingtypes.cpp,168.42,2379316
product_mmtr.cpp,26.59,616564
product_trmm.cpp,20.89,507320
visitor.cpp,4.90,197424
product_trmv.cpp,14.50,430936
visitor.cpp,2.49,136312
product_small.cpp,32.58,839200
nomalloc.cpp,17.25,506968
geo_quaternion.cpp,38.00,785476
upperbidiagonalization.cpp,32.86,700208
type_alias.cpp,1.86,104456
dontalign.cpp,36.18,947992
bdcsvd.cpp,270.54,2675844
product_small.cpp,27.31,688516
sizeof.cpp,2.60,163944
eigensolver_generalized_real.cpp,63.24,1194956
product_small.cpp,37.76,930372
nullary.cpp,4.16,210508
nullary.cpp,2.89,181200
nesting_ops.cpp,11.99,379440
sparse_ref.cpp,9.07,331476
product_small.cpp,11.32,425584
meta.cpp,1.86,130068
basicstuff.cpp,8.33,340744
inplace_decomposition.cpp,20.13,555204
stddeque.cpp,8.00,274688
qr_fullpivoting.cpp,20.06,432756
product_trsolve.cpp,23.30,486852
stdlist_overload.cpp,4.45,224568
triangular.cpp,4.51,190500
triangular.cpp,22.21,534032
product_extra.cpp,11.13,370240
unalignedassert.cpp,5.07,288880
dynalloc.cpp,2.43,138812
adjoint.cpp,5.68,274896
inplace_decomposition.cpp,20.31,591548
rand.cpp,3.63,161236
mapstride.cpp,7.66,314840
product_large.cpp,57.42,1107968
nomalloc.cpp,12.54,430116
stable_norm.cpp,7.00,311416
diagonalmatrices.cpp,11.50,410192
conservative_resize.cpp,6.01,260884
triangular.cpp,14.75,454384
integer_types.cpp,1.65,106188
qr_colpivoting.cpp,130.86,1924752
visitor.cpp,2.17,128296
stdvector.cpp,3.97,209040
adjoint.cpp,7.94,362964
numext.cpp,2.65,131832
permutationmatrices.cpp,13.43,430192
geo_eulerangles.cpp,4.20,242480
basicstuff.cpp,6.51,309132
prec_inverse_4x4.cpp,4.45,246124
product_extra.cpp,6.75,310828
conservative_resize.cpp,4.81,207848
qr.cpp,19.46,597884
diagonal.cpp,8.49,354672
qr.cpp,20.59,610644
triangular.cpp,16.85,489316
lu.cpp,62.29,1138184
linearstructure.cpp,7.16,313252
product_small.cpp,85.68,1512968
packetmath.cpp,4.00,178872
product_symm.cpp,7.99,313956
stdlist_overload.cpp,6.58,309980
linearstructure.cpp,6.45,280436
sparselu.cpp,79.66,1270044
product_large.cpp,23.35,618516
inplace_decomposition.cpp,22.13,629944
real_qz.cpp,22.68,691640
product_small.cpp,26.99,686636
linearstructure.cpp,5.42,289644
integer_types.cpp,21.81,568628
jacobisvd.cpp,102.14,1546852
stdvector_overload.cpp,4.90,241572
packetmath.cpp,3.98,186928
nullary.cpp,5.68,283108
bdcsvd.cpp,100.10,1609228
eigensolver_complex.cpp,31.94,707788
diagonal.cpp,11.10,386992
packetmath.cpp,4.07,181836
product_syrk.cpp,13.44,421032
packetmath.cpp,3.58,176048
unalignedassert.cpp,4.87,289356
unalignedassert.cpp,5.01,288616
permutationmatrices.cpp,5.81,297424
triangular.cpp,3.62,184372
cholesky.cpp,33.94,826212
linearstructure.cpp,14.37,443480
mpl2only.cpp,1.63,127564
basicstuff.cpp,20.30,591560
basicstuff.cpp,9.44,341528
umeyama.cpp,18.48,496812
conjugate_gradient.cpp,56.57,1042296
visitor.cpp,2.26,123852
redux.cpp,10.25,330136
block.cpp,38.14,787216
basicstuff.cpp,6.76,298184
product_selfadjoint.cpp,8.39,340068
constructor.cpp,4.63,211316
mapped_matrix.cpp,2.36,129320
product_trsolve.cpp,20.15,433292
linearstructure.cpp,7.06,310772
diagonalmatrices.cpp,14.80,426108
mapped_matrix.cpp,4.44,228904
bdcsvd.cpp,104.44,1506124
nomalloc.cpp,2.28,163320
array_for_matrix.cpp,33.45,833724
vectorwiseop.cpp,64.56,1288884
prec_inverse_4x4.cpp,4.94,224008
linearstructure.cpp,10.39,323652
product_trmm.cpp,19.75,510572
eigensolver_generic.cpp,131.50,1978384
linearstructure.cpp,5.61,291456
basicstuff.cpp,6.87,315672
integer_types.cpp,16.23,470468
array_reverse.cpp,6.13,302188
product_trsolve.cpp,17.34,540744
packetmath.cpp,4.07,194456
stddeque_overload.cpp,5.15,246460
integer_types.cpp,11.61,439392
integer_types.cpp,14.60,424064
vectorization_logic.cpp,34.97,838232
qr_colpivoting.cpp,36.93,760824
stable_norm.cpp,7.71,323720
adjoint.cpp,13.66,437432
eigensolver_selfadjoint.cpp,165.10,2178884
integer_types.cpp,7.19,309568
adjoint.cpp,6.07,325748
mapstaticmethods.cpp,2.74,153364
visitor.cpp,2.11,124312
mixingtypes.cpp,110.43,1907364
geo_transformations.cpp,43.37,1047948
cholesky.cpp,26.97,708216
redux.cpp,8.52,310472
product_small.cpp,97.33,1775868
product_extra.cpp,11.02,381004
mapstaticmethods.cpp,6.01,305044
umeyama.cpp,32.29,710416
product_small.cpp,98.54,1830736
product_trmv.cpp,9.82,401948
eigensolver_generalized_real.cpp,71.76,1309920
redux.cpp,9.81,314984
geo_homogeneous.cpp,61.20,1291072
mixingtypes.cpp,102.14,1890724
redux.cpp,3.83,175944
product_trsolve.cpp,12.45,403272
adjoint.cpp,9.80,407428
stddeque.cpp,7.48,289868
eigensolver_selfadjoint.cpp,52.26,1133368
visitor.cpp,2.52,147660
determinant.cpp,10.81,381924
miscmatrices.cpp,2.26,148228
dontalign.cpp,33.55,940748
resize.cpp,1.80,123852
array_for_matrix.cpp,25.99,698056
inplace_decomposition.cpp,26.09,713384
sparse_basic.cpp,32.51,696276
product_large.cpp,58.56,1164456
